 pm25, pm10, o3, no2, so2, co,AQI
73,43,26,1,3,3,73
53,57,23,4,7,4,57
87,51,27,1,3,3,87
79,53,21,3,2,4,79
70,51,21,3,5,3,70
69,50,20,3,4,4,69
86,20,20,2,4,3,86
46,31,15,3,9,4,46
39,19,10,5,5,11,39
30,26,9,3,4,5,30
57, , , , , ,57
51,29,17,7,3,6,51
65,35,4,5,4,5,65
82, , , , , ,82
50, , , , , ,50
46,22,7,1,5,3,46
24,41,28,1,6,4,41
61, , , , , ,61
61,37,7,1,5,4,61
59,46,20, ,5,4,59
79,53,27,2,14,5,79
89,50,24,1,9,7,89
86, , , , , ,86
92,59,21,3,7,5,92
109,50,19,2,7,5,109
89,47,24,2,4,5,89
66,50,24,2,4,4,66
69,57,26,2,4,4,69
80,45,25,2,4,5,80
56,37,16,1,4,3,56
27,48,19,1,4,4,48
59,45,13,2,5,4,59
54,44,10,4,5,6,54
47,34,21,2,4,2,47
45,34,16,2,3,2,45
37, , , , , ,37
61,39,17,3,6,3,61
64,23,8,2,6,4,64
31,26,11,5,7,2,31
39,45,25,3,7,3,45
168,101,22,6,7,6,168
175,106,25,5,6,6,175
179,95,25,7,5,6,179
172,83,22,16,6,6,172
157, , , , , ,157
168,104,20,5,5,7,168
178,100,21,5,9,5,178
175,94,19,6,6,6,175
171,105,24,8,7,10,171
173,86,25,5,5,6,173
153,85,5,5,5,6,153
162,82,19,3,29,5,162
163,69,20,3,7,4,163
147,54,17,7,6,4,147
104,54,13,6,5,4,104
101,48,7,7,4,4,101
85,37,13,5,4,3,85
69,35,13,4,4,3,69
63,40,13,3,4,3,63
69,41,11,3,4,4,69
77,44,15,5,4,4,77
85, , , , , ,85
153,71,21,5,6,6,153
146,73,22,5,4,7,146
150,75,25,13,4,7,150
151,51,18,4,5,8,151
81,43,15,4,4,5,81
71,26,16,2,4,4,71
36,46,3,5,5,6,46
63,49,14,5,10,5,63
83,50,18,5,7,5,83
82,51,17,5,14,6,82
84,61,19,6,6,6,84
111,59,14,7,5,6,111
102,51,12,5,8,7,102
81,56,16,4,5,6,81
94,66,22,4,8,6,94
124,64,20,3,5,6,124
124,56,20,4,5,7,124
92,56,17,4,6,6,92
86,57,16,6,8,7,86
